"","country","population","pm1998","pm1999","pm2000","pm2001","pm2002","pm2003","pm2004","pm2005","pm2006","pm2007","pm2008","pm2009","pm2010","pm2011","pm2012","pm2013","pm2014","pm2015","pm2016","pm2017","pm2018","pm2019","pm2020","pm2021"
"201","Singapore",5842829,13.214,15.05,16.262,15.658,19.332,14.514,16.322,16.484,26.23,14.67,13.728,20.454,12.65,15.36,17.564,23.132,18.104,26.262,13.878,13.13,13.898,18.576,11.48,13.01
"202","Sint Maarten",40679,2.71,3.72,3.02,3.32,2.47,2.83,2.68,3.72,3.34,2.89,2.63,2.9,4.52,2.71,3.44,2.38,2.37,2.6,2.93,2.78,2.39,2.31,2.29,2.49
"203","Slovakia",5439730,23.0498734177215,22.9946835443038,20.6344303797468,22.9954430379747,23.639746835443,24.0056962025316,20.9843037974684,22.7484810126582,23.6943037974684,17.6520253164557,17.4894936708861,19.7978481012658,20.910253164557,22.3915189873418,19.3859493670886,18.9241772151899,16.9886075949367,17.8148101265823,16.3091139240506,17.4859493670886,16.1710126582278,13.5351898734177,13.2172151898734,14.5488607594937
"204","Slovenia",2067880,19.2950520833333,18.3850520833333,17.9427604166667,19.5709895833333,20.0535416666667,20.5435416666667,18.6154166666667,20.4851041666667,20.3699479166667,16.1600520833333,16.2770833333333,16.28484375,17.4244791666667,19.775625,16.0992708333333,15.7958333333333,13.3983854166667,16.2165625,14.8167708333333,15.4130729166667,14.7094270833333,11.4602083333333,12.3525,13.0038020833333
"205","Solomon Islands",549101,2.73138888888889,2.41105555555556,3.78416666666667,4.30238888888889,4.67272222222222,4.24444444444444,5.15594444444444,4.45988888888889,5.60411111111111,6.36405555555556,4.65944444444444,6.43555555555556,6.04188888888889,5.79072222222222,6.21277777777778,7.96816666666667,7.6685,7.20727777777778,6.90977777777778,7.73483333333333,6.91816666666667,6.863,5.94427777777778,5.46283333333333
"206","Somalia",12035043,6.47878378378378,8.73837837837838,8.61202702702703,7.83918918918919,8.44,8.80662162162162,9.56743243243243,8.41635135135135,9.55905405405405,9.89135135135135,8.31432432432432,9.81905405405405,9.79324324324324,10.2827027027027,9.22527027027027,8.43689189189189,8.76891891891892,9.00324324324324,8.86189189189189,8.70716216216216,9.59310810810811,9.29635135135135,7.70608108108108,9.3277027027027
"207","South Africa",56955067,18.145,17.8551923076923,17.8196153846154,18.4546153846154,18.0917307692308,17.9221153846154,18.5188461538462,19.3313461538462,18.6992307692308,18.4675,18.9148076923077,18.5794230769231,21.29,18.3301923076923,18.4188461538462,17.4386538461538,16.8521153846154,17.7709615384615,16.4836538461538,17.7592307692308,17.4934615384615,17.2267307692308,16.8475,17.0265384615385
"208","South Georgia and the South Sand",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","South Korea",51427386,17.8697816593886,17.9676855895197,21.2120524017467,20.1670742358079,18.8423580786026,25.4753711790393,20.9866375545852,21.7813100436681,22.9954148471616,22.9812227074236,22.793056768559,22.1044541484716,20.5518777292576,21.0238864628821,21.6223580786026,22.4657205240175,22.883056768559,22.0675545851528,21.7534497816594,20.037423580786,19.7624017467249,20.5185589519651,19.276768558952,18.9334934497817
"210","South Sudan",11007070,16.8142222222222,14.004,14.2528888888889,14.2253333333333,13.8471111111111,13.9248888888889,13.6095555555556,15.3755555555556,14.2857777777778,16.3762222222222,14.546,15.0848888888889,15.758,17.2675555555556,15.194,15.2571111111111,15.5477777777778,14.5584444444444,15.3322222222222,15.2093333333333,14.1497777777778,15.2368888888889,14.8973333333333,15.8948888888889
